open,high,low,close,adjclose,volume,MA_20,MA_50,Volatility,Volume_MA20,Volume_Spike
18.88888741,18.97222137,18.77777672,18.79999924,5.640412331,10800.0,,,,,False
18.79999924,19.27777672,18.84444427,19.08888817,5.727086067,27000.0,,,,,False
19.33333206,19.33333206,18.88888741,18.88888741,5.667080879,10800.0,,,,,False
18.88888741,18.89999962,18.5,18.89444351,5.668749332,41400.0,,,,,False
18.89444351,18.90555573,18.66666603,18.89999962,5.670414925,46800.0,,,,,False
18.66666603,19.0,18.66666603,18.86666679,5.660416126,54000.0,,,,,False
18.86666679,18.88888741,18.56666565,18.88888741,5.667080879,41400.0,,,,,False
18.88888741,18.88888741,18.67777634,18.77777672,5.633744717,18900.0,,,,,False
18.77777672,18.99444389,18.66666603,18.77777672,5.633744717,38700.0,,,,,False
18.77777672,18.86111069,18.66666603,18.66666603,5.600409508,1800.0,,,0.11112500331036936,,False
18.66666603,18.86111069,18.78333282,18.78333282,5.635411739,9900.0,,,0.11216168559849443,,False
18.78333282,18.88888741,18.66666603,18.72222137,5.617075443,41400.0,,,0.08265148290115136,,False
18.51111031,19.27222252,18.51111031,18.88888741,5.667080879,21600.0,,,0.08265148290115136,,False
18.88888741,18.88888741,18.67222214,18.68333244,5.605408669,32400.0,,,0.08740267593736623,,False
18.66666603,18.89999962,18.66666603,18.88888741,5.667080879,35100.0,,,0.08598640454781552,,False
18.73333359,18.80555534,18.73333359,18.79999924,5.640412331,42300.0,,,0.08226864119037086,,False
18.79999924,18.83333206,18.66666603,18.66666603,5.600409508,54900.0,,,0.0819345089292281,,False
18.33333206,18.83333206,17.98888779,18.76666641,5.630412579,49500.0,,,0.08182561824379113,,False
18.76666641,18.44444466,18.33333206,18.44444466,5.53373909,28800.0,,,0.12968740258305092,,False
18.44444466,18.44444466,18.44444466,18.44444466,5.53373909,0.0,18.781943703499998,,0.15792238931944438,30375.0,False
18.44444466,18.57777786,18.05555534,18.57777786,5.57374239,28800.0,18.7708326345,,0.16051236836563837,31275.0,False
18.57777786,18.80555534,18.33333206,18.78888893,5.637078285,78300.0,18.7558326725,,0.16343419815309454,33840.0,True
18.44444466,18.79999924,18.44444466,18.78333282,5.635411739,30600.0,18.750554943,,0.1525679126815693,34830.0,False
18.78333282,18.86111069,18.55555534,18.85555458,5.65708065,25200.0,18.7486104965,,0.16186559734934589,34020.0,False
18.85555458,18.94444466,18.67222214,18.79444313,5.63874197,49500.0,18.743332672,,0.1521943424428667,34155.0,True
18.66666603,18.79444313,18.47222137,18.79444313,5.63874197,30600.0,18.739721488999997,,0.15176670616381466,32985.0,False
18.79444313,19.30555534,18.66666603,19.1277771,5.738752842,67500.0,18.7516659735,,0.20428834340019977,34290.0,True
19.1277771,19.11111069,18.66666603,19.11111069,5.733753681,15300.0,18.768332672,,0.23623965683736578,34110.0,False
19.0,20.55555534,18.88888741,19.42777634,5.82875967,76500.0,18.800832653,,0.284390663977052,36000.0,True
19.42777634,21.33333206,20.55555534,21.33333206,6.400468826,64800.0,18.934165954499996,,0.8011822286364683,39150.0,True
21.55555534,23.33333206,21.55555534,23.06666565,6.920505047,70200.0,19.148332595999996,,1.4410672685572603,42165.0,True
23.06666565,23.55555534,22.94444466,23.45000076,7.035514355,38700.0,19.384721565499998,,1.8440416146856142,42030.0,False
24.44444466,25.77777672,24.0055542,24.01666641,7.205523968,81900.0,19.641110515499996,,2.1535443810179897,45045.0,True
24.01666641,24.88333321,23.33333206,24.06111145,7.218862057,36900.0,19.909999466,,2.30914474510032,45270.0,False
24.06111145,23.55555534,22.02777672,22.33333206,6.700489044,33300.0,20.0822216985,,2.181047977157248,45180.0,False
22.33333206,22.44444466,21.69444466,22.41111183,6.723825932,45900.0,20.262777328,,1.978094505161757,45360.0,True
22.66666603,23.22222137,22.22222137,22.77777672,6.833834171,103500.0,20.4683328625,,1.74646810756595,47790.0,True
22.77777672,22.77777672,22.77777672,22.77777672,6.833834171,0.0,20.668888378000002,,1.3706306010903984,45315.0,False
22.77777672,22.88888741,22.77777672,22.77777672,6.833834171,50400.0,20.885554981,,0.8154608163143864,46395.0,True
22.77777672,23.88888741,22.88888741,23.65555573,7.097185135,101700.0,21.1461105345,,0.6288749205521748,51480.0,True
23.65555573,25.33333206,23.88888741,25.1222229,7.537219048,135000.0,21.473332786500002,,0.8875899981860583,56790.0,True
25.1222229,27.55555534,24.72222137,26.72222137,8.017251015,112500.0,21.8699994085,,1.3927523203709848,58500.0,True
26.72222137,27.11111069,26.44444466,26.60000038,7.980582237,168300.0,22.260832786499996,,1.675912994034753,65385.0,True
26.60000038,26.55555534,26.22222137,26.24444389,7.873909473,182700.0,22.630277252,,1.8308350254460368,73260.0,True
26.24444389,26.33333206,25.55555534,26.29444313,7.888908386,131400.0,23.005277252,,1.8244800242818264,77355.0,True
26.29444313,26.66666603,26.33333206,26.46666527,7.940578461,126000.0,23.388888359,,1.7482432704087618,82125.0,True
26.46666527,26.46666527,26.46666527,26.46666527,7.940578461,0.0,23.755832767500003,,1.6252593423173343,78750.0,False
26.11666679,26.66666603,26.11666679,26.55555534,7.967250824,87300.0,24.128054999999996,,1.393011158048998,82350.0,True
26.55555534,26.5,26.22777748,26.44444466,7.933915138,141300.0,24.478888416,,0.9547511433081357,85590.0,True
26.44444466,26.66666603,26.33333206,26.65555573,7.997250557,416700.0,24.7449995995,21.242666054,0.4587363472789641,103185.0,True
26.11111069,26.47222137,26.11111069,26.44444466,7.933915138,75600.0,24.913888550000003,21.3955549624,0.1496328279281025,103455.0,False
